date,team,category,total_tasks,completed_tasks,delayed_tasks,error_count,customer_issues,notes
2026-04-20,물류운영,수출서류,42,39,3,1,2,선적서류 보완 요청 증가
2026-04-20,물류운영,통관대응,31,29,2,0,1,오전 통관 문의 집중
2026-04-21,물류운영,수출서류,45,41,4,2,3,거래처 코드 불일치 2건 발생
2026-04-21,영업지원,견적대응,28,27,1,0,2,단가 확인 요청 증가
2026-04-22,영업지원,계약검토,19,17,2,1,1,계약 조건 확인 지연
2026-04-22,재고관리,재고확인,36,35,1,0,0,특이사항 없음
2026-04-23,재고관리,입출고확인,40,36,4,1,2,입고 예정일 변경 문의
2026-04-23,물류운영,통관대응,33,30,3,1,2,HS 코드 재확인 필요
2026-04-24,영업지원,견적대응,30,28,2,0,3,긴급 견적 요청 3건
2026-04-24,재고관리,재고확인,38,34,4,2,1,재고 수량 불일치 확인 필요
